Commune;Commune id;Region;Region id;lat;long;Population
Bodø;1804;Nordland;18;67.28333282;14.38333321;52024
Narvik;1805;Nordland;18;68.4363;17.3983;18630
Bindal;1811;Nordland;18;65.096666666667;12.588611111111;1450
Sømna;1812;Nordland;18;65.323611111111;12.177222222222;2014
Brønnøy;1813;Nordland;18;65.475833333333;12.400277777778001;7916
Vega;1815;Nordland;18;65.67527777777799;11.957777777778;1232
Vevelstad;1816;Nordland;18;65.668333333333;12.518611111111;497
Herøy_(Nordland);1818;Nordland;18;65.98427;12.28916;1780
Alstahaug;1820;Nordland;18;65.956666666667;12.572777777778;7415
Leirfjord;1822;Nordland;18;66.11277777777799;13.130833333333001;2320
Vefsn;1824;Nordland;18;65.799166666667;13.250555555556;13403
Grane;1825;Nordland;18;65.400555555556;13.510555555556;1493
Hattfjelldal;1826;Nordland;18;65.5475;14.134444444444;1359
Dønna;1827;Nordland;18;66.083333;12.516667;1391
Nesna;1828;Nordland;18;66.257777777778;13.035;1792
Hemnes;1832;Nordland;18;66.054166666667;14.030555555555999;4501
Rana;1833;Nordland;18;66.366667;14.333332999999998;26315
Lurøy;1834;Nordland;18;66.431944444444;12.855;1904
Træna;1835;Nordland;18;66.5075;12.030833333333002;456
Rødøy;1836;Nordland;18;66.583333333333;13.35;1238
Meløy;1837;Nordland;18;66.78805600000001;13.675832999999999;6331
Gildeskål;1838;Nordland;18;67.033;14.033;1978
Beiarn;1839;Nordland;18;66.91722222222201;14.674722222222;1022
Saltdal;1840;Nordland;18;66.92;15.56;4657
Fauske;1841;Nordland;18;67.258889;15.391389000000002;9760
Sørfold;1845;Nordland;18;67.220556;15.808610999999999;1975
Steigen;1848;Nordland;18;67.79833333333299;15.171944444444001;2576
Hamarøy;1849;Nordland;18;68.06666700000001;15.766667000000002;1747
Tysfjord;1850;Nordland;18;68.064167;16.480556;1925
Lødingen;1851;Nordland;18;68.40416666666701;15.571388888889;2077
Tjeldsund;1852;Nordland;18;68.484444444444;16.2925;1259
Evenes;1853;Nordland;18;68.533333;16.916667;1387
Ballangen;1854;Nordland;18;68.306388888889;16.744166666667;2470
Røst;1856;Nordland;18;67.52;12.098888888889;508
Værøy;1857;Nordland;18;67.673055555556;12.669166666667;732
Flakstad;1859;Nordland;18;68.079166666667;13.275;1292
Vestvågøy;1860;Nordland;18;68.221389;13.784444;11480
Vågan;1865;Nordland;18;68.278056;14.520832999999998;9595
Hadsel;1866;Nordland;18;68.535;14.825;8091
Bø_(Nordland);1867;Nordland;18;68.695277777778;14.579444444444;2616
Øksnes;1868;Nordland;18;68.888333333333;15.183333333333001;4449
Sortland;1870;Nordland;18;68.695833;15.413056;10518
Andøy;1871;Nordland;18;69.32055600000001;16.120278;4771
Moskenes;1874;Nordland;18;67.92527777777799;12.958888888889;1039
Harstad;1903;Troms – Romsa;19;68.799694444444;16.544305555556;24827
Tromsø;1902;Troms – Romsa;19;69.666667;18.933332999999998;76649
Kvæfjord;1911;Troms – Romsa;19;68.701944444444;16.146944444444;2858
Skånland;1913;Troms – Romsa;19;68.64;16.957222222222;3009
Ibestad;1917;Troms – Romsa;19;68.829444444444;17.245833333333;1375
Gratangen;1919;Troms – Romsa;19;68.690036111111;17.541747222222;1105
Lavangen;1920;Troms – Romsa;19;68.657777777778;17.583611111111;1042
Bardu;1922;Troms – Romsa;19;68.743888888889;18.519166666666997;4030
Salangen;1923;Troms – Romsa;19;68.900555555556;17.893055555556;2183
Målselv;1924;Troms – Romsa;19;68.975;19.064444444444;6805
Sørreisa;1925;Troms – Romsa;19;69.091944444444;18.193611111111;3489
Dyrøy;1926;Troms – Romsa;19;69.066944444444;17.741388888889002;1129
Tranøy;1927;Troms – Romsa;19;69.191388888889;17.362222222221998;1513
Torsken;1928;Troms – Romsa;19;69.296388888889;17.036388888889;931
Berg_(Troms);1929;Troms – Romsa;19;69.46666666666701;17.397777777778;888
Lenvik;1931;Troms – Romsa;19;69.38361111111101;17.9675;11679
Balsfjord;1933;Troms – Romsa;19;69.304722222222;19.203611111110998;5625
Karlsøy;1936;Troms – Romsa;19;70.13;19.430833333333002;2252
Lyngen;1938;Troms – Romsa;19;69.690277777778;20.081666666666997;2847
Storfjord;1939;Troms – Romsa;19;69.278611111111;20.286666666667;1841
Kåfjord;1940;Troms – Romsa;19;69.603888888889;20.5325;2097
Skjervøy;1941;Troms – Romsa;19;70.08527777777799;20.659444444444002;2917
Nordreisa;1942;Troms – Romsa;19;69.705;21.209166666667;4909
Kvænangen;1943;Troms – Romsa;19;69.894166666667;21.980277777778;1202
Vardø;2002;Finnmark – Finnmárku;20;70.366669444444;31.1;2081
Vadsø;2003;Finnmark – Finnmárku;20;70.073333333333;29.749722222221997;5894
Hammerfest;2004;Finnmark – Finnmárku;20;70.663333;23.677778;10536
Kautokeino;2011;Finnmark – Finnmárku;20;69.011666666667;23.043333333333003;2924
Alta;2012;Finnmark – Finnmárku;20;69.976666666667;23.295833333333;20665
Loppa;2014;Finnmark – Finnmárku;20;70.239444444444;22.348611111111;917
Hasvik;2015;Finnmark – Finnmárku;20;70.59166666666701;22.302777777778;1045
Kvalsund;2017;Finnmark – Finnmárku;20;70.49897222222201;23.973944444443998;988
Måsøy;2018;Finnmark – Finnmárku;20;70.750722;24.785156;1235
Nordkapp;2019;Finnmark – Finnmárku;20;71.016667;25.783333;3218
Porsanger;2020;Finnmark – Finnmárku;20;70.052222222222;24.955833333333;3944
Karasjok;2021;Finnmark – Finnmárku;20;69.481944444444;25.105;2673
